dataset_name,einstein_radius_arcsec,primary_einstein_radius_arcsec,n_galaxies
102019596_NEG637748088500119037,1.4541643673409825,1.3057931185881324,2
102020057_NEG582019329494705421,4.78086009966189,1.279788543939377,7
102021990_NEG650312660474055399,1.7672705144364667,1.575508917357165,3
102022474_NEG590266584471556814,2.789307758015766,2.3846572116182085,5
102160336_2685084962682049281,2.1621209605651366,0.9090805121904172,3
Tile102009456RA0028744526103DECNEG0627141565579,2.9183036120817274,2.4192665356673326,3
Tile102009456RA0033212617729DECNEG0626181441792,2.2392582320231247,1.695733860802687,4
Tile102011653RA0829625359734DECNEG0593678626642,3.252166417189118,2.32201081299272,3
Tile102012386RA0658633631277DECNEG0582808691163,2.0500832423140958,0.984738475466448,6
Tile102012717RA0173506965868DECNEG0578426085479,3.912350760671143,2.8890395869652203,3
Tile102012762RA0594034991305DECNEG0581814397772,3.849013256196096,3.3894843466936777,7
Tile102012788RA0842004326187DECNEG0579622566069,2.0180359563036103,2.0180359563036103,1
Tile102013949RA0652017213963DECNEG0565132055836,4.084064483646076,2.886107237216187,3
Tile102016415RA0355866659367DECNEG0534932652580,1.5286133158402249,1.3009836845607592,3
Tile102016447RA0620944429136DECNEG0534539081873,3.3753909474354797,2.0728635181178636,3
Tile102016489RA0973508563193DECNEG0535674149716,2.5979736416425996,1.2816960655679357,4
Tile102016854RA0390427500822DECNEG0528682065491,0.9628119641270794,0.8126220153033648,2
Tile102017279RA0278686500019DECNEG0527045257837,1.2682131727180217,0.8645153541869767,3
Tile102017343RA0798239390993DECNEG0523683314646,2.316690500183136,2.15074464039433,5
Tile102017707RA0146447885242DECNEG0520331793389,2.796485092628778,1.506273495843075,3
Tile102017725RA0287957598371DECNEG0521551060528,5.331428073986406,1.409690054682227,4
Tile102017735RA0365678404733DECNEG0521388226336,2.942516410477134,1.5233102371159228,6
Tile102017741RA0418938410247DECNEG0519141491905,1.4507115559986128,1.4476148468711607,2
Tile102017754RA0523770062547DECNEG0520245683944,2.030581398362464,2.0305806554500636,2
Tile102017787RA0785994127239DECNEG0522466124652,0.9946411163990219,0.5657615187868246,2
Tile102018195RA0451363459627DECNEG0517455918486,3.144729982389505,2.5053075475644686,4
Tile102018205RA0534514671873DECNEG0514071287132,1.4269192197675593,1.1394921599744872,3
Tile102018218RA0633491628699DECNEG0512971365536,2.1849470478784685,0.8498251338270844,2
Tile102018221RA0658168278639DECNEG0516738405643,2.3126717981455225,2.312098089547517,2
Tile102020991RA0437194509613DECNEG0483795430032,1.1493245157672893,1.1491686704295334,2
Tile102020998RA0495312994257DECNEG0483022098318,2.7695065816380278,1.437639933183547,6
Tile102022016RA0845191674116DECNEG0475870747274,2.2215879860596477,1.8962108645062354,3
Tile102022434RA0298788160322DECNEG0471394260853,2.0239828768984114,0.5114221310189496,5
Tile102022525RA0960657896028DECNEG0471616737541,2.416447078671388,1.5347621866202923,9
Tile102023937RA0294559848569DECNEG0456278955480,3.5156492278680465,3.2656098382041847,5
Tile102024483RA0543338015420DECNEG0448510204236,4.4203903783489595,1.5295193441933852,6
Tile102024509RA0727501120934DECNEG0448464849514,2.4338731372776414,1.4379138697957419,6
Tile102024509RA0728016302802DECNEG0447549990857,1.6274054237083293,1.4183059402525018,3
Tile102024534RA0904618152878DECNEG0450834503667,5.25339421469637,4.5119758330774875,4
Tile102024996RA0533660582939DECNEG0445564024659,1.1489819535505208,0.5343670634337672,4
Tile102025507RA0479880572615DECNEG0438809818265,1.4741893624206128,0.8926248830291169,2
Tile102027615RA0405126213056DECNEG0417504994386,1.4454792788552804,1.225466434101678,2
Tile102028764RA0829514769808DECNEG0410800271213,2.1817273565970163,2.1470532658017696,5
Tile102029268RA0535908187946DECNEG0406175201805,1.7343647706581902,1.3768193876458819,3
